,track_name,danceability,loudness,acousticness,instrumentalness,valence,energy,genre,,
1976,cinderella stay awhile,0.694,-11.292,0.157,0.000295,0.825,0.554,pop,,
1977,child of innocence,0.276,-8.04,0.101,1.79E-06,0.759,0.73,pop,,
1978,screaming and yelling,0.301,-11.135,0.881,0.00487,0.0742,0.93,pop,,
1979,seven lonely nights,0.569,-6.196,0.34,0,0.756,0.892,pop,,
1980,dida,0.821,-8.187,0.746,0.0593,0.963,0.872,pop,,
1981,i'd build a bridge,0.356,-8.144,0.48,0.000494,0.339,0.544,pop,,
1982,medicine jar,0.386,-7.023,0.12,6.12E-06,0.762,0.857,pop,,
1983,what do you want from life,0.5,-12.554,0.106,5.50E-06,0.685,0.709,pop,,
1984,walk away renee,0.405,-7.313,0.735,0,0.592,0.563,pop,,
1985,mondo bondage,0.393,-14.121,0.0493,0.0873,0.54,0.56,pop,,
1986,universal soldier,0.512,-15.605,0.777,0,0.426,0.208,pop,,
1987,the ballad of chicken soup,0.558,-12.111,0.11,0.000307,0.329,0.415,pop,,
1988,i don't wanna talk about it,0.47,-10.448,0.448,0.000145,0.417,0.476,pop,,
1989,light a light,0.621,-15.345,0.821,8.02E-05,0.428,0.329,pop,,
1990,disney girls,0.489,-17.056,0.452,0.264,0.184,0.211,pop,,
1991,you can't get here from there,0.783,-9.43,0.667,0.000909,0.832,0.481,pop,,
1992,another year,0.499,-22.492,0.963,0.93,0.354,0.109,pop,,
1993,bottle let me down,0.705,-8.469,0.552,0.000845,0.704,0.451,pop,,
1994,nothing was delivered,0.577,-7.891,0.705,0.0337,0.589,0.444,pop,,
1995,whirlwind,0.427,-5.512,0.739,4.53E-06,0.254,0.6,pop,,
1996,hold me close,0.667,-4.602,0.0746,0.000198,0.486,0.75,pop,,
1997,statue of liberty,0.255,-13.241,0.984,0.954,0.216,0.24,pop,,
1998,in my eyes,0.276,-5.86,0.0343,0.0094,0.449,0.959,pop,,
1999,don't back down,0.5,-4.556,3.66E-05,0.000534,0.437,0.93,pop,,
2000,nightingale,0.486,-5.574,0.139,0,0.33,0.605,pop,,
2001,orange juice blues,0.549,-6.475,0.672,0,0.663,0.665,pop,,
2002,"here, there and everywhere",0.29,-12.125,0.921,0.00565,0.36,0.247,pop,,
2003,white punks on dope,0.264,-13.184,0.00117,0.00166,0.527,0.801,pop,,
2004,fine time,0.677,-5.613,0.0003,0.795,0.881,0.979,pop,,
2005,he don't love you [like i love you],0.637,-12.378,0.287,1.85E-05,0.805,0.55,pop,,
2006,city of angels,0.686,-4.993,0.042,0,0.724,0.541,pop,,
2007,one summer dream,0.448,-9.001,0.395,0.00701,0.3,0.556,pop,,
2008,slip slidin' away (demo),0.469,-18.557,0.748,0.0355,0.488,0.223,pop,,
2009,sing child,0.505,-13.317,0.0253,0.00542,0.447,0.668,pop,,
2010,never let her go,0.576,-14.764,0.233,2.22E-05,0.621,0.399,pop,,
2011,it's impossible,0.281,-12.052,0.511,0.0019,0.346,0.374,pop,,
2012,at seventeen,0.616,-17.212,0.876,0.000126,0.336,0.271,pop,,
2013,"i do, i do, i do, i do, i do",0.461,-4.257,0.677,0.0163,0.748,0.806,pop,,
2014,s.o.s.,0.568,-2.182,0.00428,0,0.924,0.961,pop,,
2015,make me smile (come up and see me),0.571,-8.277,0.00706,0.000181,0.773,0.818,pop,,
2016,papa loves mambo,0.674,-10.07,0.512,2.05E-06,0.747,0.498,pop,,
2017,shelter from the storm,0.486,-17.337,0.413,3.51E-05,0.614,0.241,pop,,
2018,my little town,0.665,-7.766,0.468,0.00156,0.429,0.535,pop,,
2019,times of your life,0.391,-9.876,0.573,0,0.513,0.441,pop,,
2020,you're a big girl now,0.431,-9.759,0.435,0,0.746,0.479,pop,,
2021,never gonna fall in love again,0.415,-7.972,0.778,0.0143,0.43,0.599,pop,,
2022,wasted days and wasted nights,0.702,-8.84,0.481,4.76E-06,0.885,0.409,pop,,
2023,catch a falling star (with mitchell ayres and his orchestra & the ray charles singers),0.695,-17.7,0.911,0,0.535,0.145,pop,,
2024,"hey, hey helen",0.649,-6.647,0.00226,0.0157,0.766,0.668,pop,,
2025,break away,0.446,-4.179,0.0298,8.89E-06,0.394,0.701,pop,,
2026,before the next teardrop falls,0.778,-9.356,0.892,0.000287,0.699,0.307,pop,,
2027,all the world,0.721,-9.271,0.449,0.0598,0.369,0.553,pop,,
2028,the millionaire,0.322,-7.595,0.634,8.38E-06,0.373,0.343,pop,,
2029,down home town,0.432,-8.168,0.348,0.0258,0.387,0.685,pop,,
2030,if i could only win your love,0.676,-10.907,0.545,0,0.834,0.454,pop,,
2031,no regrets,0.865,-4.786,0.135,0,0.517,0.717,pop,,
2032,together again,0.528,-6.086,0.0593,0.000463,0.358,0.72,pop,,
2033,break it up,0.91,-8.126,0.022,0,0.53,0.444,pop,,
2034,everybody's makin' it big but me,0.493,-11.492,0.804,0,0.784,0.546,pop,,
2035,spanish train,0.413,-16.353,0.407,0,0.264,0.255,pop,,
2036,two cents worth,0.613,-11.232,0.458,0.000118,0.795,0.532,pop,,
2037,roses are red,0.613,-7.097,0.166,0,0.532,0.6,pop,,
2038,silent eyes,0.576,-14.966,0.832,0.0606,0.116,0.239,pop,,
2039,the pinnacle,0.249,-8.516,0.0765,0.000147,0.519,0.665,pop,,
2040,don't let the stars get in your eyes,0.808,-12.533,0.809,0,0.963,0.421,pop,,
2041,dear michael,0.549,-8.421,0.273,3.89E-06,0.639,0.604,pop,,
2042,take me back,0.545,-9.51,0.969,0.267,0.1,0.366,pop,,
2043,our day will come,0.538,-7.722,0.708,0.000126,0.718,0.625,pop,,
2044,i'd do it for your love,0.417,-24.991,0.848,0.858,0.187,0.0979,pop,,
2045,goin' to acapulco,0.374,-7.337,0.552,0.000379,0.322,0.367,pop,,
2046,gone at last,0.62,-9.554,0.103,0.00023,0.939,0.78,pop,,
2047,must do something about it,0.808,-12.082,0.471,0.000145,0.664,0.478,pop,,
2048,lonely night (angel face),0.593,-9.163,0.508,2.23E-05,0.647,0.698,pop,,
2049,the long and winding road,0.299,-10.096,0.756,0.0105,0.392,0.329,pop,,
2050,the path,0.605,-7.037,0.429,0,0.0834,0.647,pop,,
2051,don't touch me there,0.522,-10.745,0.291,0.0221,0.411,0.671,pop,,
2052,loving her was easier,0.438,-16.288,0.723,0.000314,0.374,0.216,pop,,
2053,somewhere i've never travelled,0.468,-7.048,0.0125,0.00726,0.569,0.745,pop,,
2054,no way out,0.486,-8.919,0.0001,0,0.289,0.912,pop,,
2055,i've never been to me,0.473,-12.51,0.843,0,0.435,0.332,pop,,
2056,georgie,0.799,-7.703,0.0519,0.0213,0.918,0.783,pop,,
2057,hold on to my love,0.713,-6.123,0.337,0.000378,0.784,0.994,pop,,
2058,all the time,0.675,-9.298,0.545,6.24E-06,0.0338,0.44,pop,,
2059,winter melody,0.607,-13.751,0.0645,3.65E-05,0.382,0.498,pop,,
2060,like fire,0.359,-3.535,0.0753,0,0.481,0.883,pop,,
2061,amazing grace,0.38,-10.299,0.889,0,0.328,0.227,pop,,
2062,somebody who loves you,0.709,-8.824,0.207,0.000307,0.867,0.824,pop,,
2063,sometimes,0.665,-16.208,0.851,0.806,0.882,0.388,pop,,
2064,i love you more than ever,0.337,-10.368,0.779,0.0258,0.273,0.39,pop,,
2065,reflections,0.648,-7.027,0.114,0.0462,0.544,0.594,pop,,
2066,pumping,0.618,-4.36,0.000469,0.522,0.413,0.848,pop,,
2067,lonely boy,0.356,-7.837,0.00417,0.00975,0.607,0.872,pop,,
2068,the note you never wrote,0.336,-13.067,0.825,0.00114,0.0709,0.153,pop,,
2069,save me,0.677,-9.552,0.653,0,0.355,0.404,pop,,
2070,modern world,0.556,-4.926,0.704,0.113,0.527,0.877,pop,,
2071,broadway hotel,0.36,-9.732,0.28,0,0.541,0.504,pop,,
2072,the bum,0.731,-9.494,0.622,1.51E-06,0.547,0.495,pop,,
2073,2hb,0.448,-10.174,0.778,0.207,0.296,0.497,pop,,
2074,lazy ways,0.491,-11.333,0.18,1.56E-05,0.35,0.586,pop,,
2075,let yourself go,0.627,-3.017,0.00376,4.11E-05,0.605,0.971,pop,,
2076,chasing change,0.712,-9.645,0.402,0.143,0.711,0.538,pop,,
2077,if you've got the time,0.464,-6.339,0.104,0,0.532,0.889,pop,,
2078,runnin' away,0.857,-11.397,0.655,0.0297,0.961,0.645,pop,,
2079,one more night,0.718,-3.453,0.0444,0,0.613,0.82,pop,,
2080,in the still of the night,0.43,-10.621,0.876,0,0.316,0.33,pop,,
2081,start all over,0.494,-2.763,0.000316,0,0.347,0.935,pop,,
2082,i hear the laughter,0.497,-9.735,0.0754,0.00299,0.41,0.544,pop,,
2083,misery,0.517,-3.677,0.00272,9.26E-06,0.731,0.906,pop,,
2084,song of joy,0.396,-11.706,0.3,0.000613,0.0994,0.464,pop,,
2085,what about you,0.744,-10.108,0.0267,0.00738,0.626,0.851,pop,,
2086,zopf: in a sydney motel,0.406,-16.53,0.689,0.0901,0.0466,0.229,pop,,
2087,dry your eyes,0.205,-10.25,0.712,0.00635,0.362,0.355,pop,,
2088,crazy arms,0.506,-9.785,0.666,0,0.761,0.42,pop,,
2089,laura,0.536,-6.702,0.53,0,0.147,0.378,pop,,
2090,they,0.859,-5.539,0.205,0.00837,0.731,0.905,pop,,
2091,you're the one,0.758,-11.403,0.281,0.00288,0.822,0.612,pop,,
2092,i can't hide,0.345,-6.887,0.126,0,0.337,0.668,pop,,
2093,good vibrations,0.371,-9.497,0.332,4.95E-06,0.325,0.424,pop,,
2094,autumn changes,0.864,-10.538,0.0375,0.00148,0.772,0.614,pop,,
2095,st. louis blues,0.535,-8.856,0.64,2.39E-05,0.617,0.408,pop,,
2096,don't ask me questions,0.601,-12.2,0.0642,0.000369,0.604,0.523,pop,,
2097,spring affair,0.726,-13.101,0.011,0.00015,0.73,0.566,pop,,
2098,let's stick together,0.785,-4.71,0.0711,0.00051,0.974,0.892,pop,,
2099,together and free,0.592,-8.178,0.00608,0.142,0.497,0.867,pop,,
2100,it doesn't matter,0.841,-9.308,0.00253,0,0.599,0.626,pop,,
2101,she cracked,0.511,-6.823,0.00015,3.06E-05,0.506,0.831,pop,,
2102,mission (a world record),0.396,-8.103,0.634,0.00232,0.2,0.5,pop,,
2103,old world,0.497,-26.863,0.937,0.92,0.629,0.141,pop,,
2104,in the flesh,0.292,-14.89,0.371,0.509,0.105,0.454,pop,,
2105,casanova,0.801,-4.579,0.677,2.86E-05,0.758,0.832,pop,,
2106,i like dreamin',0.487,-9.504,0.0166,0,0.219,0.522,pop,,
2107,down to zero,0.509,-15.221,0.624,0.000155,0.526,0.307,pop,,
2108,let 'em in,0.761,-11.849,0.491,0.31,0.626,0.482,pop,,
2109,when i kissed the teacher,0.527,-5.795,0.519,6.13E-05,0.714,0.939,pop,,
2110,you are the woman,0.753,-11.64,0.535,0,0.838,0.469,pop,,
2111,roadrunner,0.722,-7.044,0.2,5.91E-05,0.589,0.536,pop,,
2112,on and on,0.451,-4.741,0.287,0,0.423,0.692,pop,,
2113,when i need you,0.597,-8.167,0.389,3.04E-05,0.11,0.342,pop,,
2114,lido shuffle,0.592,-9.811,0.0124,4.28E-05,0.645,0.612,pop,,
2115,"my love, my life",0.396,-14.169,0.978,1.40E-06,0.276,0.127,pop,,
2116,you're the song [that i can't stop singing],0.596,-8.944,0.409,2.02E-06,0.658,0.631,pop,,
2117,hospital,0.636,-8.185,0.492,0.658,0.714,0.753,pop,,
2118,astral plane,0.587,-8.07,0.0516,2.57E-05,0.714,0.675,pop,,
2119,devil woman,0.71,-5.996,0.0792,3.32E-05,0.858,0.792,pop,,
2120,"money, money, money",0.756,-6.426,0.43,0.00113,0.691,0.741,pop,,
2121,days on the road,0.586,-9.468,0.36,0.00305,0.293,0.433,pop,,
2122,"swing low, sweet chariot",0.597,-12.964,0.271,0,0.706,0.6,pop,,
2123,rifle range,0.348,-9.901,0.0192,0.00467,0.645,0.67,pop,,
2124,bread and roses,0.35,-15.875,0.874,0,0.342,0.186,pop,,
2125,look good in blue,0.52,-8.585,0.121,1.66E-05,0.872,0.582,pop,,
2126,wasted,0.505,-5.24,0.373,0.00107,0.252,0.657,pop,,
2127,if you walked away,0.408,-7.955,0.143,0,0.106,0.331,pop,,
2128,mississippi,0.581,-8.346,0.0987,0,0.637,0.624,pop,,
2129,i wanna sleep in your arms,0.667,-6.659,0.00665,0.301,0.663,0.686,pop,,
2130,magnum opus: father padilla meets the perfect gnat / howling at the moon / man overboard / industry on parade / release the beavers / gnat attack,0.322,-6.502,0.0392,0.201,0.208,0.777,pop,,
2131,love's grown deep,0.593,-8.071,0.174,0,0.35,0.57,pop,,
2132,happy hawaii,0.525,-7.325,0.288,0.000422,0.331,0.783,pop,,
2133,livin' ain't livin',0.494,-9.536,0.276,0,0.651,0.666,pop,,
2134,strangered in the night,0.706,-5.613,0.0263,0.0016,0.831,0.878,pop,,
2135,summer fever,0.684,-4.734,0.0272,0,0.905,0.764,pop,,
2136,lord grenville,0.471,-9.947,0.017,0,0.223,0.523,pop,,
2137,questions of my childhood,0.487,-7.06,0.109,0,0.852,0.853,pop,,
2138,art for art's sake,0.646,-10.629,0.0858,0.0727,0.462,0.426,pop,,
2139,oh happy day,0.517,-7.023,0.829,0,0.415,0.404,pop,,
2140,pissing in a river,0.357,-7.464,0.509,0,0.173,0.559,pop,,
2141,love me tomorrow,0.519,-6.923,0.105,0.000288,0.489,0.531,pop,,
2142,needles and pins,0.374,-5.153,8.64E-06,0.216,0.624,0.916,pop,,
2143,che,0.677,-13.826,0.458,0.0132,0.851,0.616,pop,,
2144,fly away,0.587,-5.066,0.018,0,0.735,0.872,pop,,
2145,pay it back,0.542,-12.973,0.117,0,0.3,0.493,pop,,
2146,heart to hang onto,0.585,-18.396,0.645,6.65E-05,0.472,0.358,pop,,
2147,"oh, candy",0.496,-7.608,0.000241,1.94E-06,0.61,0.778,pop,,
2148,hard times,0.695,-5.379,0.00647,4.87E-06,0.916,0.818,pop,,
2149,paper thin hotel,0.483,-12.675,0.963,2.30E-05,0.0398,0.0512,pop,,
2150,modern love,0.358,-5.577,0.00375,9.20E-06,0.944,0.938,pop,,
2151,you've got a cold,0.684,-9.762,0.0443,5.81E-06,0.916,0.659,pop,,
2152,pearl's a singer,0.524,-10.186,0.564,0,0.39,0.242,pop,,
2153,this is sarah's song,0.296,-13.853,0.725,0.00131,0.198,0.302,pop,,
2154,no one receiving,0.641,-12.803,0.127,0.000218,0.548,0.789,pop,,
2155,a piece of the action,0.86,-11.688,0.0354,0.423,0.694,0.371,pop,,
2156,the white rose of athens,0.439,-14.55,0.797,5.23E-05,0.437,0.208,pop,,
2157,the modern world,0.388,-10.555,0.0015,3.94E-06,0.853,0.825,pop,,
2158,nobody's home,0.348,-3.66,0.000516,0,0.177,0.907,pop,,
2159,i remember yesterday,0.694,-13.31,0.123,2.73E-06,0.873,0.575,pop,,
2160,my broken souvenirs,0.462,-9.372,0.785,1.46E-06,0.35,0.352,pop,,
2161,for cryin' out loud,0.563,-8.844,0.423,0.000126,0.777,0.81,pop,,
2162,i'll bet he's nice,0.537,-10.506,0.722,0,0.714,0.446,pop,,
2163,lay your money down,0.268,-3.984,8.01E-06,0.00204,0.0591,0.978,pop,,
2164,god only knows,0.597,-7.952,0.395,8.35E-06,0.263,0.417,pop,,
2165,thank you for the music,0.283,-9.124,0.835,0,0.373,0.417,pop,,
2166,where's the party?,0.764,-5.414,0.00269,0,0.92,0.863,pop,,
2167,away from the numbers,0.298,-9.004,0.00025,8.97E-06,0.696,0.786,pop,,
2168,i've got the melody (deep in my heart),0.593,-11.663,0.211,1.80E-05,0.723,0.764,pop,,
2169,if you be wise,0.503,-17.57,0.154,9.92E-05,0.456,0.31,pop,,
2170,theme for a dream,0.74,-16.658,0.887,0,0.694,0.201,pop,,
2171,i've got the music in me,0.492,-6.137,0.277,3.46E-05,0.343,0.85,pop,,
2172,life from a window,0.42,-13.079,0.00114,0.000515,0.216,0.76,pop,,
2173,can't you hear the music?,0.19,-12.456,0.233,0.938,0.0643,0.435,pop,,
2174,ice cream man,0.902,-4.074,0.167,0,0.39,0.67,pop,,
2175,what i did for love,0.246,-10.805,0.931,3.18E-06,0.164,0.152,pop,,
2176,sweet forgiveness,0.417,-7.045,0.7,0,0.645,0.588,pop,,
2177,here song,0.291,-8.314,0.844,0.0105,0.433,0.373,pop,,
2178,never is too late,0.666,-14.43,0.494,0.0247,0.852,0.496,pop,,
2179,warm love,0.743,-8.624,0.852,0.00737,0.585,0.431,pop,,
2180,sparks of the tempest,0.552,-6.077,0.0857,8.55E-05,0.962,0.606,pop,,
2181,"hot love, cold world",0.592,-11.258,0.0603,0.000397,0.626,0.652,pop,,
2182,slowburn,0.512,-12.651,0.443,0.0019,0.136,0.404,pop,,
2183,it'll be all right,0.553,-6.319,0.697,0,0.443,0.586,pop,,
2184,hey there lonely girl,0.389,-10.923,0.693,2.08E-06,0.343,0.322,pop,,
2185,radio sweetheart,0.366,-19.642,0.0527,0,0.728,0.403,pop,,
2186,here comes the weekend,0.709,-2.867,0.00137,0.000104,0.681,0.794,pop,,
2187,this is tomorrow,0.421,-8.106,0.152,0.444,0.512,0.66,pop,,
2188,i don't want to talk about it,0.47,-10.448,0.448,0.000145,0.417,0.476,pop,,
2189,sometimes,0.665,-16.208,0.851,0.806,0.882,0.388,pop,,
2190,take good care of my baby,0.487,-11.297,0.761,0,0.604,0.441,pop,,
2191,love conquers all,0.233,-8.104,0.264,8.70E-05,0.0704,0.42,pop,,
2192,head on home,0.433,-26.667,0.985,0.966,0.538,0.0205,pop,,
2193,clock strikes ten,0.332,-8.838,0.0217,0.302,0.237,0.981,pop,,
2194,home on monday,0.622,-7.449,0.58,0,0.377,0.586,pop,,
2195,elevation,0.581,-8.093,0.00105,0.000289,0.418,0.804,pop,,
2196,jungle,0.697,-8.651,0.62,0.000144,0.378,0.235,pop,,
2197,today's the first day,0.409,-11.534,0.67,1.55E-06,0.439,0.335,pop,,
2198,believe me now,0.318,-10.641,0.00433,0.0806,0.265,0.563,pop,,
2199,birmingham blues,0.704,-10.294,0.271,3.44E-05,0.818,0.614,pop,,
2200,desirée,0.61,-11.981,0.13,1.09E-06,0.751,0.475,pop,,
2201,here come those tears again,0.674,-9.336,0.0511,0,0.727,0.61,pop,,
2202,celebrate me home,0.384,-14.55,0.318,0.000223,0.349,0.287,pop,,
2203,i feel love,0.689,-16.248,0.0127,0.647,0.937,0.675,pop,,
2204,walk on water,0.483,-10.212,0.805,0,0.618,0.439,pop,,
2205,watching the detectives,0.793,-12.146,0.0135,1.77E-05,0.811,0.362,pop,,
2206,i go crazy,0.534,-8.66,0.259,0.0004,0.271,0.457,pop,,
2207,marquee moon,0.49,-10.83,0.0391,0.371,0.732,0.536,pop,,
2208,two tickets to paradise,0.61,-8.616,0.102,6.14E-05,0.693,0.838,pop,,
2209,see no evil,0.398,-7.944,0.0224,0.0684,0.806,0.782,pop,,
2210,(love is) thicker than water,0.582,-9.882,0.137,4.98E-05,0.528,0.462,pop,,
2211,"one man, one woman",0.484,-7.931,0.531,2.24E-05,0.55,0.524,pop,,
2212,isn't it time,0.523,-6.994,0.389,0.000133,0.313,0.93,pop,,
2213,ex lion tamer,0.343,-4.666,0.259,0.000673,0.679,0.856,pop,,
2214,love alive,0.543,-16.752,0.29,0.00477,0.225,0.335,pop,,
2215,106 beats that,0.368,-7.417,0.000787,0.617,0.963,0.878,pop,,
2216,nothing matters but you,0.335,-9.654,0.936,0.00023,0.0879,0.402,pop,,
2217,brazil,0.687,-5.213,0.0941,1.27E-05,0.665,0.617,pop,,
2218,oh caroline,0.646,-5.466,0.363,4.01E-05,0.819,0.85,pop,,
2219,save a little room in your heart,0.601,-13.81,0.0494,0.00377,0.484,0.457,pop,,
2220,lay back in the arms of someone,0.594,-7.216,0.0757,0.000244,0.693,0.75,pop,,
2221,jealousys,0.261,-3.934,0.000684,0,0.63,0.793,pop,,
2222,champs,0.783,-8.251,0.456,0,0.711,0.454,pop,,
2223,king's lead hat,0.557,-8.357,0.0035,0.0125,0.851,0.967,pop,,
2224,cocaine,0.699,-12.526,0.0607,0.0337,0.676,0.502,pop,,
2225,first time,0.439,-7.158,0.177,5.17E-05,0.471,0.652,pop,,
2226,elo kiddies,0.552,-8.643,0.000406,0.52,0.719,0.919,pop,,
2227,lightning's hand,0.326,-5.24,0.0318,0.0208,0.688,0.895,pop,,
2228,making believe,0.566,-11.303,0.707,0,0.474,0.266,pop,,
2229,straight line,0.538,-6.172,0.034,0.00155,0.165,0.656,pop,,
2230,down the dolce vita,0.591,-10.807,0.117,0.000342,0.318,0.868,pop,,
2231,lucky lips,0.651,-12.038,0.67,0,0.965,0.478,pop,,
2232,(get a) grip (on yourself),0.521,-9.245,0.000909,0.108,0.777,0.854,pop,,
2233,torn curtain,0.463,-11.655,0.112,0.0279,0.306,0.465,pop,,
2234,runaway,0.374,-3.825,0.219,0.00219,0.111,0.568,pop,,
2235,you're my world,0.377,-7.409,0.806,0.0063,0.417,0.389,pop,,
2236,sweet life,0.479,-6.074,0.227,0,0.8,0.558,pop,,
2237,here comes the flood,0.346,-17.158,0.945,1.84E-06,0.127,0.0501,pop,,
2238,love needs a heart,0.48,-10.228,0.539,0.00334,0.308,0.334,pop,,
2239,fragile,0.361,-12.43,0.931,0.000179,0.336,0.413,pop,,
2240,mr suit,0.607,-6.415,0.202,0.000384,0.962,0.941,pop,,
2241,without you,0.608,-3.727,0.227,3.82E-06,0.402,0.614,pop,,
2242,i'll get by,0.308,-8.881,0.257,0.0025,0.38,0.583,pop,,
2243,two lives,0.485,-6.25,0.00304,0.068,0.0675,0.952,pop,,
2244,i believe in love,0.711,-6.334,0.0774,0.0178,0.664,0.853,pop,,
2245,pink flag,0.451,-9.692,0.261,0.85,0.201,0.844,pop,,
2246,the chosen one,0.593,-5.202,0.00264,0,0.335,0.87,pop,,
2247,start to move,0.738,-3.897,0.107,0.391,0.0376,0.949,pop,,
2248,mandocello,0.642,-9.378,0.0534,0.0393,0.55,0.576,pop,,
2249,till victory,0.426,-8.538,0.00348,0,0.644,0.771,pop,,
2250,nicotine stain,0.442,-4.908,0.00392,0.467,0.665,0.921,pop,,
2251,babelogue,0.328,-11.714,0.466,0,0.254,0.902,pop,,
2252,lighter touch,0.41,-14.945,0.055,0.00735,0.133,0.314,pop,,
2253,dancin' by myself,0.453,-8.299,0.134,0.00031,0.84,0.753,pop,,
2254,ain't that a shame,0.486,-8.57,0.767,7.60E-05,0.942,0.501,pop,,
2255,marooned,0.396,-14.836,0.384,0.568,0.148,0.341,pop,,
2256,kingdom hall,0.704,-14.174,0.28,0,0.799,0.307,pop,,
2257,on the radio,0.734,-13.92,0.113,1.13E-05,0.595,0.45,pop,,
2258,ain't that nothin',0.538,-4.899,0.292,0.0352,0.577,0.869,pop,,
2259,why,0.691,-6.478,0.0483,1.13E-05,0.8,0.631,pop,,
2260,sand in my joints,0.177,-6.454,0.213,0.62,0.495,0.775,pop,,
2261,crooked piece of time,0.701,-12.363,0.247,0.000118,0.895,0.648,pop,,
2262,mattie's rag,0.648,-13.955,0.44,5.06E-05,0.416,0.382,pop,,
2263,backwards traveller,0.686,-11.906,0.0362,0.00112,0.68,0.487,pop,,
2264,home sweet home,0.397,-6.339,0.0983,4.09E-06,0.127,0.776,pop,,
2265,life for the talking,0.465,-13.532,0.00187,2.74E-05,0.522,0.381,pop,,
2266,carcass,0.199,-13.245,1.10E-06,0.24,0.168,0.97,pop,,
2267,you (got it),0.762,-8.937,0.143,0,0.394,0.433,pop,,
2268,tranquillo (melt my heart),0.585,-7.673,0.321,2.77E-06,0.821,0.655,pop,,
2269,takin' me back,0.501,-7.523,0.0173,0.00989,0.484,0.637,pop,,
2270,end of the world,0.232,-10.674,0.936,4.93E-06,0.432,0.216,pop,,
2271,overground,0.629,-11.205,0.192,0.227,0.718,0.285,pop,,
2272,french film blurred,0.686,-9.64,0.729,0.836,0.634,0.492,pop,,
2273,clyde,0.694,-5.276,0.122,0,0.334,0.684,pop,,
2274,them heavy people,0.829,-14.899,0.647,1.21E-05,0.893,0.357,pop,,
2275,i didn't have the nerve to say no,0.593,-5.668,0.0076,0.00147,0.761,0.904,pop,,
2276,contact in red square,0.391,-6.593,0.0268,0,0.623,0.832,pop,,
2277,this is pop?,0.539,-2.509,0.0381,0.000326,0.503,0.963,pop,,
2278,annalisa,0.761,-3.023,0.0078,2.08E-06,0.717,0.815,pop,,
2279,apothecary,0.569,-2.018,0.166,5.78E-06,0.477,0.953,pop,,
2280,dot dash,0.561,-7.8,0.538,0,0.531,0.878,pop,,
2281,from the nursery,0.656,-5.866,0.307,0,0.772,0.676,pop,,
2282,oh to be in love,0.663,-13.911,0.487,0.000409,0.468,0.348,pop,,
2283,brickfield nights,0.416,-5.907,0.00168,0.00528,0.951,0.76,pop,,
2284,fool for a night,0.689,-9.191,0.325,0.000108,0.862,0.509,pop,,
2285,'a' bomb in wardour street,0.639,-10.676,0.00901,0.000107,0.881,0.781,pop,,
2286,symphony in blue,0.552,-14.623,0.529,0.0126,0.378,0.248,pop,,
2287,takin' it easy,0.575,-10.39,0.343,4.95E-06,0.74,0.67,pop,,
2288,used to,0.451,-3.843,0.6,0,0.455,0.632,pop,,
2289,mercy,0.563,-9.381,0.0685,5.80E-05,0.426,0.496,pop,,
2290,being sucked in again,0.587,-8.471,0.273,0.902,0.304,0.378,pop,,
2291,worlds away,0.646,-4.476,5.79E-05,0,0.758,0.647,pop,,
2292,the last goodbye,0.667,-2.71,0.00752,0.00232,0.146,0.92,pop,,
2293,raining in my heart,0.674,-19.916,0.87,0.000387,0.596,0.113,pop,,
2294,the staircase (mystery),0.61,-8.46,0.00145,0.0226,0.268,0.743,pop,,
2295,wavelength,0.541,-6.999,0.0736,0.00115,0.522,0.863,pop,,
2296,checkin' it out,0.481,-7.456,0.161,0.00219,0.661,0.637,pop,,
2297,i feel mysterious today,0.449,-9.628,0.807,0.436,0.388,0.486,pop,,
2298,en kanmani,0.299,-3.84,0.927,0.000244,0.909,0.73,pop,,
2299,too late,0.516,-7.136,0.344,0,0.907,0.73,pop,,
2300,change of heart,0.74,-7.477,0.211,0.00951,0.528,0.51,pop,,
2301,cue,0.677,-5.836,0.198,0,0.896,0.745,pop,,
2302,practice makes perfect,0.801,-7.069,0.102,0,0.945,0.633,pop,,
2303,so you win again,0.706,-9.188,0.526,0.14,0.816,0.538,pop,,
2304,devoted to you,0.587,-9.387,0.834,0,0.526,0.34,pop,,
2305,i love the sound of breaking glass,0.711,-10.641,0.122,0.916,0.917,0.621,pop,,
2306,an everlasting love,0.665,-6.542,0.299,0,0.919,0.686,pop,,
2307,outdoor miner,0.557,-7.816,0.676,0.006,0.711,0.762,pop,,
2308,all mixed up,0.76,-9.404,0.0104,0,0.659,0.702,pop,,
2309,(our love) don't throw it all away,0.349,-13.193,0.357,6.05E-05,0.208,0.337,pop,,
2310,red-headed wild flower,0.577,-6.814,0.153,0,0.801,0.799,pop,,
2311,had to fall in love,0.493,-17.392,0.678,0.243,0.346,0.306,pop,,
2312,fade away and radiate,0.457,-9.105,0.157,0.00269,0.258,0.395,pop,,
2313,so it goes,0.574,-7.283,0.122,1.10E-06,0.374,0.61,pop,,
2314,pride,0.665,-7.056,0.0786,1.68E-05,0.37,0.535,pop,,
2315,11:59,0.394,-5.709,0.017,0.00364,0.753,0.872,pop,,
2316,you can't win,0.719,-7.704,0.227,6.65E-06,0.774,0.854,pop,,
2317,i'm in touch with your world,0.841,-10.24,0.0207,0.00144,0.885,0.426,pop,,
2318,don't cry out loud,0.409,-9.953,0.226,0,0.278,0.521,pop,,
2319,fish and whistle,0.724,-15.259,0.345,0,0.86,0.369,pop,,
