,track_name,danceability,loudness,acousticness,instrumentalness,valence,energy,genre,,
74,don't you know i love you,0.595,-15.97,0.814,5.14E-05,0.709,0.241,pop,,
75,"love, your magic spell is everywhere",0.299,-11.042,0.891,0.000176,0.193,0.313,pop,,
76,heart of stone,0.513,-8.14,0.452,0,0.101,0.426,pop,,
77,have mercy,0.903,-6.434,0.297,0,0.508,0.535,pop,,
78,you've changed,0.596,-3.806,0.147,0,0.614,0.777,pop,,
79,i do adore her,0.677,-13.81,0.97,0,0.86,0.289,pop,,
80,"ciao, ciao, bambina",0.53,-11.726,0.631,1.35E-06,0.513,0.303,pop,,
81,non dimenticar,0.232,-15.493,0.895,0.00705,0.168,0.175,pop,,
82,al di la,0.32,-12.301,0.682,0,0.217,0.301,pop,,
83,matilda,0.507,-10,0.896,1.97E-05,0.386,0.294,pop,,
84,devil or angel,0.668,-13.181,0.871,0,0.719,0.239,pop,,
85,hosanna,0.403,-4.713,0.0331,0.00137,0.0897,0.658,pop,,
86,volare (nel blu dipinto di blu),0.664,-7.022,0.521,0.000117,0.788,0.682,pop,,
87,why should i,0.721,-9.622,0.202,2.90E-05,0.877,0.659,pop,,
88,in other words (fly me to the moon),0.668,-14.256,0.453,0,0.368,0.26,pop,,
89,i'll never be free,0.509,-13.989,0.936,0,0.293,0.133,pop,,
90,remember when,0.558,-10.623,0.709,0.000319,0.267,0.314,pop,,
91,love love love,0.465,-12.637,0.948,0.00155,0.207,0.225,pop,,
92,it might as well be spring,0.32,-18.079,0.915,1.27E-06,0.25,0.107,pop,,
93,at your beck and call,0.445,-10.346,0.812,0,0.476,0.259,pop,,
94,september in the rain,0.511,-15.855,0.406,0,0.278,0.192,pop,,
95,i give you my word,0.609,-7.193,0.192,0,0.746,0.718,pop,,
96,more,0.601,-6.24,0.175,8.40E-05,0.673,0.703,pop,,
97,summertime in venice,0.573,-13.002,0.642,0.253,0.531,0.248,pop,,
98,here goes a fool,0.411,-16.337,0.883,0,0.468,0.122,pop,,
99,chinna kelbyaadve nanna ppuraana,0.47,-11.597,0.972,2.87E-05,0.688,0.318,pop,,
100,remember me (the girl in the wood),0.359,-12.931,0.919,3.13E-05,0.128,0.165,pop,,
101,blood beach,0.424,-5.357,6.28E-06,0.923,0.503,0.906,pop,,
102,am i blue?,0.449,-10.074,0.972,9.20E-05,0.233,0.0839,pop,,
103,don't ever love me,0.471,-17.175,0.966,2.30E-06,0.576,0.139,pop,,
104,angelique-o,0.576,-12.658,0.816,0,0.915,0.377,pop,,
105,true love,0.712,-5.487,0.0182,6.09E-06,0.388,0.861,pop,,
106,by myself,0.688,-16.543,0.864,0.000172,0.275,0.282,pop,,
107,warm,0.662,-14.525,0.887,0.111,0.434,0.296,pop,,
108,panchhi banoon udti phiroon,0.359,-8.359,0.799,2.15E-05,0.91,0.61,pop,,
109,miss you,0.587,-6.64,0.0128,0.00107,0.199,0.742,pop,,
110,one kiss,0.791,-3.24,0.037,2.19E-05,0.592,0.862,pop,,
111,i'm glad there is you,0.321,-10.567,0.981,1.54E-05,0.183,0.15,pop,,
112,"baby, baby, baby",0.679,-8.601,0.0913,0.000673,0.9,0.597,pop,,
113,undying love,0.808,-6.006,0.0946,0,0.466,0.774,pop,,
114,your true love,0.569,-7.042,0.852,0.0103,0.712,0.84,pop,,
115,cu cu ru cu cu paloma,0.52,-14.491,0.936,0.317,0.469,0.118,pop,,
116,cordelia brown,0.681,-12.975,0.859,0,0.965,0.382,pop,,
117,dear heart,0.655,-12.914,0.979,4.74E-05,0.859,0.278,pop,,
118,completely sweet,0.645,-9.27,0.353,1.71E-06,0.938,0.658,pop,,
119,sittin' in the balcony,0.527,-12.666,0.869,0.017,0.887,0.464,pop,,
120,a time for us,0.2,-20.545,0.904,0.81,0.0393,0.0949,pop,,
121,soft sands,0.244,-15.561,0.981,0,0.112,0.187,pop,,
122,(where do i begin) love story,0.41,-9.695,0.618,2.08E-06,0.557,0.427,pop,,
123,canadian sunset,0.369,-12.175,0.587,0,0.506,0.385,pop,,
124,kisses sweeter than wine,0.497,-12.974,0.672,0,0.696,0.318,pop,,
125,eddie my love,0.558,-10.475,0.732,0,0.37,0.194,pop,,
126,come home to my arms,0.657,-14.897,0.857,0,0.544,0.237,pop,,
127,love never changes,0.635,-14.525,0.824,0,0.212,0.0808,pop,,
128,tumsa nahin dekha,0.756,-9.258,0.619,0.000522,0.966,0.526,pop,,
129,i can't love you enough,0.387,-11.076,0.00995,0.0213,0.262,0.357,pop,,
130,choopula kalasina subhavela,0.55,-11.827,0.712,0.00572,0.912,0.456,pop,,
131,i'm alone because i love you,0.296,-14.685,0.764,0,0.461,0.206,pop,,
132,i've grown accustomed to her face,0.215,-12.258,0.827,0,0.206,0.305,pop,,
133,speak softly love,0.264,-15.677,0.774,0.000128,0.256,0.202,pop,,
134,teen age goodnight,0.249,-4.532,4.35E-05,0.089,0.284,0.98,pop,,
135,"love, love alone",0.592,-14.867,0.931,4.89E-06,0.79,0.238,pop,,
136,now i know,0.401,-5.011,0.0704,0,0.839,0.901,pop,,
137,tell me you love me,0.54,-5.465,0.0257,0,0.243,0.599,pop,,
138,still,0.946,-6.604,0.219,0,0.961,0.646,pop,,
139,i don't know,0.381,-6.405,0.00578,0,0.516,0.733,pop,,
140,suno sunaoon tumhen ek kahani,0.717,-9.731,0.974,0,0.656,0.191,pop,,
141,i'll see you in my dreams,0.597,-9.886,0.824,0.0159,0.41,0.385,pop,,
142,"i surrender, dear",0.508,-12.208,0.992,0.928,0.0526,0.207,pop,,
143,titulos principio,0.368,-11.439,0.221,0.57,0.133,0.461,pop,,
144,in the middle of nowhere,0.635,-4.056,0.00471,0,0.873,0.877,pop,,
145,you are too beautiful,0.42,-21.464,0.861,0.38,0.272,0.077,pop,,
146,that's all i need,0.767,-6.785,0.0453,0,0.665,0.688,pop,,
147,aagaya veedhiyil,0.773,-8.875,0.672,5.59E-05,0.372,0.434,pop,,
148,don't blame me,0.615,-6.719,0.106,1.76E-05,0.193,0.534,pop,,
149,between the devil and the deep blue sea,0.495,-7.821,0.753,0,0.806,0.376,pop,,
150,in the garden,0.542,-10.876,0.897,1.80E-05,0.152,0.231,pop,,
151,he's got the whole world in his hands,0.703,-8.631,0.726,0,0.667,0.355,pop,,
152,birth of the blues,0.364,-10.78,0.746,0,0.427,0.374,pop,,
153,where can i go?,0.34,-13.97,0.12,0.0101,0.334,0.358,pop,,
154,夢斷巫山,0.442,-10.763,0.906,0.000782,0.6,0.383,pop,,
155,你去了那裡,0.577,-10.025,0.934,6.74E-06,0.845,0.459,pop,,
156,mona lisa,0.856,-4.393,0.371,0,0.489,0.694,pop,,
